,APOGEE_ID,RA,DEC,VHELIO,VERR,VSCATTER,NVISITS,SNR,Hmag
54,2M01300444+3019569,22.518519,30.332495,29.870664596557617,0.0455387495458126,0.4111612439155578,10,235.3936309814453,11.628999710083008
55,2M01300651+3015428,22.527143,30.261915,-41.38787841796875,0.0506551191210746,0.0952130183577537,3,104.49629974365234,12.041000366210938
56,2M01300743+2930313,22.530961,29.50872,-9.144157409667969,0.0988016724586486,18.56584930419922,13,1412.2574462890625,8.270999908447266
57,2M01301288+3119244,22.553698,31.323463,-28.292325973510746,0.0249703656882047,0.0750385299324989,2,253.5825958251953,10.163000106811523
58,2M01301468+2944221,22.5612,29.739487,3.318668365478516,0.5248162150382996,1.8600168228149412,9,38.87921524047852,14.300000190734863
59,2M01301728+2958219,22.572005,29.97275,39.22414779663086,0.075969323515892,29.5948543548584,3,107.02771759033205,11.505999565124512
60,2M01302970+3005559,22.62377,30.098875,-13.732340812683104,0.0211880151182413,0.080515332520008,3,498.56939697265625,8.501999855041504
61,2M01303204+2957285,22.633534,29.95793,-4.973018169403076,0.0234228018671274,0.1001091599464416,3,337.73095703125,9.850000381469728
62,2M01303321+3114470,22.638403,31.24641,-1.9408737421035769,0.0245364792644977,0.0291556566953659,2,461.6506652832031,9.005000114440918
63,2M01304204+3155196,22.675201,31.922131,-28.42089080810547,0.0545112490653991,0.0589607059955596,2,157.49620056152344,10.883000373840332
64,2M01304658+3041178,22.694103,30.688288,6.16966438293457,0.054839190095663,0.1036704778671264,4,299.87664794921875,10.644000053405762
65,2M01304826+3025522,22.701102,30.431183,-27.94102096557617,0.0343659408390522,0.0478836819529533,3,128.1634063720703,11.67300033569336
66,2M01304995+3056234,22.708137,30.939856,-59.16236114501953,0.0568618439137935,4.319092273712158,2,134.37893676757812,11.85200023651123
67,2M01305056+3156229,22.710687,31.939703,-31.295242309570312,0.2206956595182418,0.7112276554107666,12,40.8789176940918,14.302000045776367
68,2M01305567+2929114,22.731959,29.486525,12.234001159667969,0.0635350346565246,0.2640118300914764,7,213.71530151367188,11.586000442504885
69,2M01305680+3105336,22.736676,31.092667,33.232791900634766,0.2128356397151947,0.5022683143615723,11,52.27706527709961,14.322999954223633
70,2M01305797+3151343,22.741557,31.859533,-90.95842742919922,0.0629068315029144,0.0609801299870014,3,91.30237579345705,12.116999626159668
71,2M01305834+3054419,22.743094,30.911646,2.582028865814209,0.0339583195745945,0.1348006427288055,3,406.5382690429688,9.677000045776367
72,2M01305940+3058508,22.747538,30.980785,99999.9,0.0,0.0,0,0.0,11.980999946594238
73,2M01310336+2952086,22.764017,29.869081,-15.02334976196289,0.1358852684497833,0.2652785181999206,12,61.06386566162109,14.329999923706056
74,2M01310624+3148567,22.776034,31.815754,-24.589984893798828,0.0386009328067302,0.1174348518252372,3,143.53269958496094,11.645999908447266
75,2M01310674+3046489,22.778121,30.780256,-0.2798495292663574,0.1031354591250419,0.2713114023208618,3,138.61875915527344,11.75
76,2M01311246+3002538,22.801926,30.048304,-8.887604713439941,0.0213826783001422,0.1760865747928619,3,338.5897521972656,9.57900047302246
77,2M01311344+2918196,22.806023,29.305447,-37.532344818115234,0.045926634222269,0.1742195039987564,3,114.99661254882812,11.711999893188477
78,2M01311446+3159096,22.810254,31.986,-30.25509262084961,0.2020274847745895,1.3528012037277222,12,40.5472412109375,14.324999809265137
79,2M01311878+3016415,22.828263,30.278198,18.3637638092041,0.0463369116187095,0.0381024703383445,3,102.47781372070312,12.107000350952148
80,2M01312092+3011093,22.837206,30.185938,-9.38847827911377,0.0213110297918319,0.0809686109423637,3,888.3365478515625,7.8520002365112305
81,2M01312448+2915222,22.852029,29.256184,-50.109222412109375,0.0235125795006752,0.0260476190596818,3,304.3013916015625,10.42099952697754
82,2M01312616+3000005,22.859034,30.00016,-11.689105033874512,0.0406780801713466,0.4399694204330444,4,195.0260467529297,11.11299991607666
83,2M01313004+2943000,22.875171,29.716677,9.467951774597168,0.0467955954372882,0.0587729439139366,3,134.38320922851562,12.18299961090088
84,2M01313005+3124031,22.875238,31.400879,-6.624142646789551,0.3131961524486542,1.0749555826187134,11,51.47953414916992,14.300999641418455
85,2M01313242+3112446,22.885105,31.212389,-18.9988956451416,0.0809252858161926,0.0445186905562877,3,140.44448852539062,12.005000114440918
86,2M01313883+3102092,22.911802,31.035906,-44.80995178222656,0.0285027008503675,0.1016574427485466,3,310.1353454589844,10.480999946594238
87,2M01314040+3154133,22.918349,31.903713,16.147836685180664,0.0434908643364906,0.0667226463556289,4,111.02879333496094,12.04599952697754
88,2M01314111+3040067,22.921325,30.668537,-25.884546279907227,0.0263085160404443,0.0930628702044487,4,192.96072387695312,11.06700038909912
89,2M01314205+3005033,22.925239,30.084261,-3.06010103225708,0.1659003347158432,0.2623200714588165,9,42.96000289916992,14.302000045776367
90,2M01314316+3013200,22.929865,30.222231,-67.46990966796875,0.0591176003217697,0.0338796898722648,3,128.58428955078125,11.710000038146973
91,2M01314983+3140216,22.957641,31.672684,-71.24911499023438,0.039617870002985,0.1159794628620147,3,144.33056640625,11.916999816894531
